timesteps,avg_waiting_time,max_waiting_time,throughput,reward
10,0.0,0.0,18,-0.0
20,0.0,0.0,36,-0.0
30,0.0,0.0,54,-0.0
40,3.7142857142857144,10.0,72,-0.016
50,7.888888888888889,20.0,89,-0.0961
60,12.363636363636363,30.0,103,-0.2684
70,6.421052631578948,23.0,108,-0.1498
80,3.925925925925926,19.0,114,-0.0792
90,5.451612903225806,29.0,121,-0.1913
100,0.0,0.0,9,-0.0
110,0.0,0.0,27,-0.0
120,0.0,0.0,45,-0.0
130,1.0,1.0,63,-0.0008
140,6.75,11.0,81,-0.1378
150,12.3,21.0,99,-0.7602
160,16.475409836065573,31.0,115,-2.2291
170,22.025974025974026,41.0,131,-4.9016
180,27.340425531914892,51.0,147,-9.1358
190,31.53913043478261,61.0,164,-15.3059
200,0.0,0.0,8,-0.0
210,0.0,0.0,26,-0.0
220,0.0,0.0,44,-0.0
230,2.0,2.0,62,-0.0028
240,7.409090909090909,12.0,81,-0.1479
250,11.55813953488372,22.0,98,-0.7749
260,15.983333333333333,32.0,115,-2.1453
270,21.67105263157895,42.0,129,-4.7245
280,26.02061855670103,52.0,146,-8.8648
290,31.182608695652174,62.0,159,-14.9426
300,0.0,0.0,8,-0.0
310,0.0,0.0,26,-0.0
320,0.0,0.0,44,-0.0
330,2.7142857142857144,3.0,63,-0.0055
340,6.764705882352941,13.0,80,-0.1047
350,12.538461538461538,23.0,99,-0.522
360,17.45945945945946,33.0,114,-1.4756
370,20.017857142857142,43.0,125,-3.2059
380,23.054054054054053,53.0,136,-5.7086
390,28.2,63.0,143,-8.775
400,0.0,0.0,9,-0.0
410,0.0,0.0,27,-0.0
420,0.0,0.0,45,-0.0
430,4.0,4.0,63,-0.0064
440,7.625,14.0,81,-0.1302
450,12.76,24.0,99,-0.5543
460,18.272727272727273,34.0,110,-1.4593
470,22.34090909090909,44.0,118,-3.0287
480,27.46938775510204,54.0,127,-4.91
490,27.56140350877193,64.0,136,-6.7937
500,0.0,0.0,9,-0.0
510,0.0,0.0,27,-0.0
520,0.0,0.0,45,-0.0
530,3.3333333333333335,5.0,63,-0.018
540,7.964285714285714,15.0,81,-0.2449
550,8.675675675675675,25.0,99,-0.5063
560,13.10344827586207,35.0,113,-1.5064
570,18.753246753246753,45.0,128,-3.679
580,24.357894736842105,55.0,139,-7.408
590,25.264150943396228,65.0,155,-10.3378
600,0.0,0.0,17,-0.0
610,0.0,0.0,35,-0.0
620,0.0,0.0,54,-0.0
630,3.9285714285714284,6.0,71,-0.0277
640,8.827586206896552,16.0,90,-0.2952
650,13.568181818181818,26.0,108,-1.1001
660,17.953125,36.0,121,-2.8131
