timesteps,avg_waiting_time,max_waiting_time,throughput,reward
10,0.0,0.0,18,-0.0
20,0.0,0.0,36,-0.0
30,0.0,0.0,54,-0.0
40,3.75,10.0,72,-0.0184
50,1.8181818181818181,5.0,90,-0.0054
60,3.1818181818181817,10.0,105,-0.0199
70,3.2222222222222223,11.0,114,-0.0294
80,3.7083333333333335,8.0,117,-0.0447
90,7.689655172413793,18.0,124,-0.2561
100,0.0,0.0,9,-0.0
110,0.0,0.0,27,-0.0
120,0.0,0.0,43,-0.0
130,1.0,1.0,63,-0.0004
140,2.8,6.0,81,-0.0054
150,4.428571428571429,8.0,99,-0.0364
160,9.5,18.0,111,-0.2771
170,7.681818181818182,23.0,119,-0.2403
180,5.846153846153846,12.0,126,-0.1314
190,6.5625,22.0,132,-0.2742
200,0.0,0.0,9,-0.0
210,0.0,0.0,27,-0.0
220,0.0,0.0,44,-0.0
230,1.5,2.0,62,-0.0005
240,5.833333333333333,11.0,79,-0.0263
250,7.071428571428571,21.0,99,-0.1215
260,9.823529411764707,31.0,108,-0.3217
270,5.25,12.0,117,-0.0809
280,8.64,21.0,124,-0.2818
290,9.257142857142858,31.0,132,-0.6364
300,0.0,0.0,8,-0.0
310,0.0,0.0,26,-0.0
320,0.0,0.0,45,-0.0
330,3.0,3.0,63,-0.0009
340,6.333333333333333,13.0,81,-0.034
350,7.2,23.0,99,-0.1056
360,3.533333333333333,8.0,110,-0.0243
370,7.9523809523809526,18.0,118,-0.1857
380,4.631578947368421,13.0,126,-0.0596
390,4.857142857142857,12.0,128,-0.097
400,0.0,0.0,9,-0.0
410,0.0,0.0,27,-0.0
420,0.0,0.0,45,-0.0
430,4.0,4.0,63,-0.0032
440,3.4,7.0,81,-0.0083
450,6.428571428571429,17.0,98,-0.089
460,10.142857142857142,27.0,108,-0.3433
470,3.9047619047619047,13.0,117,-0.051
480,5.68,17.0,121,-0.1432
490,9.837837837837839,27.0,129,-0.5734
500,0.0,0.0,9,-0.0
510,0.0,0.0,27,-0.0
520,0.0,0.0,45,-0.0
530,2.7142857142857144,5.0,63,-0.0073
540,6.111111111111111,15.0,81,-0.0501
550,9.3,25.0,99,-0.1589
560,9.266666666666667,31.0,109,-0.2827
570,4.482758620689655,13.0,116,-0.088
580,4.48,15.0,121,-0.0784
590,5.7272727272727275,25.0,128,-0.1568
600,0.0,0.0,18,-0.0
610,0.0,0.0,35,-0.0
620,0.0,0.0,54,-0.0
630,1.3333333333333333,2.0,71,-0.0006
640,4.0,9.0,89,-0.012
650,6.923076923076923,15.0,107,-0.0842
660,5.611111111111111,25.0,116,-0.1533
670,5.375,13.0,124,-0.0995
