timesteps,avg_waiting_time,max_waiting_time,throughput,reward
10,0.0,0.0,18,-0.0
20,0.0,0.0,36,-0.0
30,0.0,0.0,54,-0.0
40,3.0,5.0,72,-0.0046
50,5.454545454545454,15.0,90,-0.052
60,3.6315789473684212,8.0,106,-0.0343
70,5.285714285714286,18.0,113,-0.1263
80,2.411764705882353,6.0,119,-0.0141
90,5.8,12.0,123,-0.1555
100,0.0,0.0,9,-0.0
110,0.0,0.0,26,-0.0
120,0.0,0.0,43,-0.0
130,1.0,1.0,62,-0.0005
140,6.733333333333333,11.0,81,-0.0879
150,11.571428571428571,21.0,98,-0.49
160,16.5609756097561,31.0,113,-1.4737
170,22.41176470588235,41.0,124,-3.2767
180,26.40740740740741,51.0,135,-5.042
190,28.15068493150685,61.0,147,-8.4919
200,0.0,0.0,9,-0.0
210,0.0,0.0,27,-0.0
220,0.0,0.0,45,-0.0
230,2.0,2.0,63,-0.0032
240,7.708333333333333,12.0,81,-0.1723
250,11.76086956521739,22.0,98,-0.8657
260,15.186440677966102,32.0,114,-1.9828
270,20.415584415584416,42.0,131,-4.4036
280,25.2680412371134,52.0,147,-8.3949
290,30.780701754385966,62.0,159,-14.3267
300,0.0,0.0,9,-0.0
310,0.0,0.0,27,-0.0
320,0.0,0.0,44,-0.0
330,3.0,3.0,62,-0.0063
340,8.227272727272727,13.0,81,-0.1817
350,12.948717948717949,23.0,99,-0.8425
360,17.87272727272727,33.0,114,-2.3017
370,22.54794520547945,43.0,128,-4.902
380,26.606382978723403,53.0,142,-9.0181
390,29.990291262135923,63.0,157,-12.7741
400,0.0,0.0,9,-0.0
410,0.0,0.0,27,-0.0
420,0.0,0.0,45,-0.0
430,4.0,4.0,63,-0.0048
440,7.0625,14.0,81,-0.1107
450,10.52,24.0,99,-0.4011
460,15.472222222222221,34.0,107,-1.1999
470,20.06122448979592,44.0,121,-2.7115
480,25.338983050847457,54.0,129,-5.1433
490,28.103896103896105,64.0,140,-8.7624
500,0.0,0.0,9,-0.0
510,0.0,0.0,27,-0.0
520,0.0,0.0,45,-0.0
530,3.5,5.0,62,-0.0128
540,7.583333333333333,15.0,81,-0.1976
550,12.475,25.0,99,-0.8485
560,17.120689655172413,35.0,110,-2.3097
570,22.35135135135135,45.0,123,-4.9286
580,27.318681318681318,55.0,139,-9.0392
590,32.055045871559635,65.0,154,-14.9892
600,0.0,0.0,17,-0.0
610,0.0,0.0,36,-0.0
620,0.0,0.0,54,-0.0
630,4.0,6.0,70,-0.016
640,9.75,16.0,90,-0.1892
650,13.5,26.0,108,-0.3523
660,13.838709677419354,36.0,117,-0.9395
