timesteps,avg_waiting_time,max_waiting_time,throughput,reward
10,0.0,0.0,18,-0.0
20,0.0,0.0,36,-0.0
30,0.0,0.0,54,-0.0
40,2.4,5.0,72,-0.0044
50,5.8,15.0,90,-0.0516
60,5.555555555555555,15.0,103,-0.085
70,3.6,10.0,111,-0.03
80,6.257142857142857,16.0,118,-0.2093
90,8.153846153846153,26.0,126,-0.4984
100,0.0,0.0,8,-0.0
110,0.0,0.0,27,-0.0
120,0.0,0.0,44,-0.0
130,1.0,1.0,62,-0.0004
140,2.4285714285714284,3.0,81,-0.0045
150,4.722222222222222,11.0,98,-0.0507
160,7.117647058823529,15.0,111,-0.1311
170,4.222222222222222,11.0,121,-0.0506
180,5.666666666666667,19.0,129,-0.1601
190,6.34375,15.0,135,-0.1655
200,0.0,0.0,9,-0.0
210,0.0,0.0,27,-0.0
220,0.0,0.0,45,-0.0
230,2.0,2.0,63,-0.0008
240,5.375,12.0,81,-0.0321
250,2.2,3.0,99,-0.0027
260,5.826086956521739,12.0,109,-0.1028
270,4.0,14.0,117,-0.0374
280,5.681818181818182,12.0,124,-0.0997
290,4.035714285714286,15.0,133,-0.0759
300,0.0,0.0,9,-0.0
310,0.0,0.0,27,-0.0
320,0.0,0.0,44,-0.0
330,2.5,3.0,63,-0.0013
340,4.285714285714286,13.0,81,-0.022
350,7.4,23.0,99,-0.0621
360,5.933333333333334,33.0,111,-0.1633
370,3.9,9.0,118,-0.0446
380,5.55,16.0,124,-0.1119
390,8.3,26.0,129,-0.4087
400,0.0,0.0,9,-0.0
410,0.0,0.0,27,-0.0
420,0.0,0.0,44,-0.0
430,3.5,4.0,63,-0.0052
440,2.75,4.0,81,-0.0072
450,6.0,14.0,99,-0.1004
460,6.809523809523809,24.0,111,-0.1893
470,5.333333333333333,34.0,114,-0.221
480,7.871794871794871,44.0,125,-0.5445
490,10.844444444444445,54.0,130,-1.1168
500,0.0,0.0,9,-0.0
510,0.0,0.0,27,-0.0
520,0.0,0.0,45,-0.0
530,0.0,0.0,63,-0.0
540,4.714285714285714,8.0,81,-0.0418
550,3.2142857142857144,10.0,99,-0.0233
560,7.052631578947368,15.0,110,-0.141
570,6.730769230769231,22.0,118,-0.2301
580,8.837837837837839,32.0,124,-0.5893
590,7.96875,29.0,129,-0.3601
600,0.0,0.0,16,-0.0
610,0.0,0.0,36,-0.0
620,0.0,0.0,53,-0.0
630,2.75,6.0,71,-0.0045
640,2.3,6.0,89,-0.0081
650,4.823529411764706,11.0,108,-0.0584
660,3.72,12.0,117,-0.0503
670,3.88,10.0,123,-0.0513
680,5.96875,15.0,132,-0.1833
