timesteps,avg_waiting_time,max_waiting_time,throughput,reward
10,0.0,0.0,18,-0.0
20,0.0,0.0,36,-0.0
30,0.0,0.0,54,-0.0
40,2.0,2.0,72,-0.0008
50,3.0,6.0,90,-0.0108
60,7.0,16.0,103,-0.1086
70,12.105263157894736,26.0,112,-0.4032
80,9.96,25.0,117,-0.4083
90,5.5,23.0,123,-0.1348
100,0.0,0.0,9,-0.0
110,0.0,0.0,26,-0.0
120,0.0,0.0,44,-0.0
130,1.0,1.0,63,-0.0006
140,2.3333333333333335,6.0,79,-0.005
150,3.4545454545454546,7.0,99,-0.0178
160,4.666666666666667,9.0,113,-0.0592
170,8.382352941176471,19.0,122,-0.3777
180,9.10344827586207,28.0,130,-0.4802
190,6.6571428571428575,30.0,134,-0.3403
200,0.0,0.0,9,-0.0
210,0.0,0.0,27,-0.0
220,0.0,0.0,44,-0.0
230,0.0,0.0,62,-0.0
240,4.25,7.0,81,-0.0083
250,3.3333333333333335,6.0,99,-0.0118
260,4.555555555555555,12.0,109,-0.0526
270,9.303030303030303,18.0,115,-0.3751
280,10.0,28.0,125,-0.4696
290,6.233333333333333,27.0,132,-0.2715
300,0.0,0.0,9,-0.0
310,0.0,0.0,26,-0.0
320,0.0,0.0,44,-0.0
330,3.0,3.0,62,-0.0018
340,6.833333333333333,13.0,80,-0.0359
350,10.153846153846153,23.0,97,-0.1942
360,8.083333333333334,33.0,109,-0.3604
370,11.307692307692308,43.0,116,-0.7494
380,5.413793103448276,23.0,125,-0.1665
390,3.7,10.0,134,-0.0613
400,0.0,0.0,9,-0.0
410,0.0,0.0,26,-0.0
420,0.0,0.0,44,-0.0
430,4.0,4.0,62,-0.0016
440,3.3333333333333335,7.0,81,-0.0138
450,4.823529411764706,14.0,99,-0.065
460,4.5,15.0,110,-0.0656
470,6.828571428571428,16.0,119,-0.2445
480,9.851063829787234,26.0,126,-0.6583
490,6.478260869565218,28.0,137,-0.4146
500,0.0,0.0,9,-0.0
510,0.0,0.0,27,-0.0
520,0.0,0.0,45,-0.0
530,2.3333333333333335,5.0,63,-0.0027
540,4.470588235294118,10.0,81,-0.0516
550,8.961538461538462,20.0,99,-0.2965
560,5.5,17.0,106,-0.1685
570,9.948717948717949,27.0,118,-0.5944
580,14.183333333333334,37.0,127,-1.7811
590,16.735294117647058,45.0,137,-2.694
600,0.0,0.0,17,-0.0
610,0.0,0.0,34,-0.0
620,0.0,0.0,53,-0.0
630,3.0,6.0,72,-0.0041
640,6.1,16.0,88,-0.0992
650,7.142857142857143,18.0,107,-0.1784
660,6.542857142857143,28.0,117,-0.3181
670,9.75,38.0,127,-0.7456
