timesteps,avg_waiting_time,max_waiting_time,throughput,reward
10,0.0,0.0,18,-0.0
20,0.0,0.0,36,-0.0
30,0.0,0.0,54,-0.0
40,4.4,10.0,72,-0.0152
50,6.909090909090909,20.0,90,-0.0952
60,9.75,30.0,104,-0.2968
70,3.7142857142857144,12.0,110,-0.0342
80,4.454545454545454,10.0,118,-0.0578
90,8.571428571428571,20.0,121,-0.3162
100,0.0,0.0,9,-0.0
110,0.0,0.0,26,-0.0
120,0.0,0.0,44,-0.0
130,1.0,1.0,63,-0.0003
140,2.375,6.0,80,-0.0069
150,6.2,12.0,99,-0.0727
160,6.315789473684211,17.0,112,-0.1304
170,7.769230769230769,27.0,120,-0.3614
180,4.642857142857143,16.0,129,-0.0942
190,7.219512195121951,16.0,133,-0.2886
200,0.0,0.0,9,-0.0
210,0.0,0.0,27,-0.0
220,0.0,0.0,44,-0.0
230,2.0,2.0,63,-0.002
240,5.8,12.0,81,-0.0426
250,3.235294117647059,8.0,99,-0.0279
260,6.055555555555555,17.0,111,-0.0987
270,6.625,19.0,120,-0.2015
280,3.7142857142857144,17.0,127,-0.0644
290,5.148148148148148,12.0,134,-0.1057
300,0.0,0.0,9,-0.0
310,0.0,0.0,27,-0.0
320,0.0,0.0,45,-0.0
330,3.0,3.0,62,-0.0018
340,4.0,5.0,81,-0.0034
350,4.111111111111111,8.0,99,-0.039
360,7.653846153846154,18.0,108,-0.2159
370,6.758620689655173,17.0,114,-0.2144
380,4.576923076923077,17.0,125,-0.0939
390,3.125,8.0,134,-0.0416
400,0.0,0.0,9,-0.0
410,0.0,0.0,27,-0.0
420,0.0,0.0,45,-0.0
430,2.0,4.0,63,-0.0018
440,6.166666666666667,14.0,81,-0.0351
450,9.272727272727273,24.0,99,-0.1534
460,9.65,34.0,109,-0.3893
470,7.681818181818182,23.0,116,-0.2129
480,7.703703703703703,23.0,124,-0.2966
490,3.8620689655172415,10.0,130,-0.0598
500,0.0,0.0,9,-0.0
510,0.0,0.0,27,-0.0
520,0.0,0.0,45,-0.0
530,1.6666666666666667,5.0,63,-0.003
540,2.625,6.0,81,-0.0081
550,5.461538461538462,13.0,99,-0.0613
560,8.521739130434783,22.0,109,-0.2678
570,5.3,14.0,116,-0.0834
580,3.3333333333333335,9.0,121,-0.0464
590,6.882352941176471,16.0,127,-0.2264
600,0.0,0.0,17,-0.0
610,0.0,0.0,36,-0.0
620,0.0,0.0,54,-0.0
630,2.0,4.0,72,-0.003
640,5.222222222222222,11.0,89,-0.0329
650,4.071428571428571,16.0,108,-0.0497
660,2.7857142857142856,9.0,115,-0.0177
670,6.12,14.0,124,-0.1331
