timesteps,avg_waiting_time,max_waiting_time,throughput,reward
1790,0.0,0.0,1,-0.0
1800,0.0,0.0,1,-0.0
1810,0.0,0.0,1,-0.0
1820,3.0,3.0,1,-0.0009
1830,13.0,13.0,3,-0.0169
1840,23.0,23.0,3,-0.0529
1850,33.0,33.0,4,-0.1089
1860,22.0,43.0,11,-0.185
1870,32.0,53.0,16,-0.293
1880,23.0,63.0,19,-0.3989
1890,0.0,0.0,1,-0.0
1900,0.0,0.0,1,-0.0
1910,0.0,0.0,1,-0.0
1920,4.0,4.0,2,-0.0016
1930,14.0,14.0,3,-0.0196
1940,24.0,24.0,3,-0.0576
1950,34.0,34.0,5,-0.1156
1960,44.0,44.0,12,-0.1936
1970,54.0,54.0,16,-0.2916
1980,24.0,64.0,17,-0.413
1990,0.0,0.0,1,-0.0
2000,0.0,0.0,1,-0.0
2010,0.0,0.0,1,-0.0
2020,5.0,5.0,2,-0.0025
2030,15.0,15.0,3,-0.0225
2040,25.0,25.0,3,-0.0625
2050,35.0,35.0,7,-0.1225
2060,45.0,45.0,12,-0.2025
2070,55.0,55.0,16,-0.3025
2080,0.0,0.0,0,-0.0
2090,0.0,0.0,1,-0.0
2100,0.0,0.0,1,-0.0
2110,0.0,0.0,1,-0.0
2120,6.0,6.0,2,-0.0036
2130,16.0,16.0,3,-0.0256
2140,26.0,26.0,3,-0.0676
2150,2.0,3.0,7,-0.001
2160,12.0,13.0,12,-0.029
2170,22.0,23.0,16,-0.097
2180,0.0,0.0,0,-0.0
2190,0.0,0.0,1,-0.0
2200,0.0,0.0,1,-0.0
2210,0.0,0.0,1,-0.0
2220,0.0,0.0,3,-0.0
2230,0.0,0.0,3,-0.0
2240,0.0,0.0,3,-0.0
2250,3.0,4.0,6,-0.002
2260,13.0,14.0,12,-0.034
2270,0.0,0.0,15,-0.0
2280,0.0,0.0,0,-0.0
2290,0.0,0.0,1,-0.0
2300,0.0,0.0,1,-0.0
2310,0.0,0.0,1,-0.0
2320,0.0,0.0,3,-0.0
2330,0.0,0.0,3,-0.0
2340,0.0,0.0,2,-0.0
2350,4.0,5.0,7,-0.0034
2360,14.0,15.0,12,-0.0394
2370,24.0,25.0,15,-0.1154
2380,0.0,0.0,0,-0.0
2390,0.0,0.0,1,-0.0
2400,0.0,0.0,1,-0.0
2410,0.0,0.0,1,-0.0
2420,0.0,0.0,3,-0.0
2430,0.0,0.0,3,-0.0
2440,0.0,0.0,2,-0.0
2450,5.0,6.0,9,-0.0052
2460,15.0,16.0,12,-0.0452
