timesteps,avg_waiting_time,max_waiting_time,throughput,reward
3600,1.5,2.0,71,-0.0005
3610,5.0,11.0,90,-0.0189
3620,2.7777777777777777,5.0,108,-0.0089
3630,5.277777777777778,12.0,115,-0.0709
3640,4.619047619047619,12.0,121,-0.0691
3650,3.5,11.0,128,-0.0349
3660,6.045454545454546,13.0,130,-0.1153
3670,0.0,0.0,17,-0.0
3680,0.0,0.0,35,-0.0
3690,0.0,0.0,54,-0.0
3700,3.6666666666666665,7.0,72,-0.0059
3710,7.0,17.0,89,-0.0569
3720,4.625,10.0,106,-0.0243
3730,5.611111111111111,14.0,112,-0.0877
3740,6.107142857142857,14.0,120,-0.1385
3750,9.414634146341463,24.0,125,-0.527
3760,7.28125,21.0,132,-0.2901
3770,0.0,0.0,17,-0.0
3780,0.0,0.0,35,-0.0
3790,0.0,0.0,54,-0.0
3800,4.333333333333333,8.0,71,-0.0081
3810,3.0,7.0,90,-0.0071
3820,2.3846153846153846,5.0,106,-0.0101
3830,3.6818181818181817,9.0,112,-0.0423
3840,6.2,14.0,121,-0.1451
3850,6.545454545454546,18.0,126,-0.1536
3860,4.2,13.0,132,-0.0848
3870,0.0,0.0,18,-0.0
3880,0.0,0.0,35,-0.0
3890,0.0,0.0,54,-0.0
3900,5.0,9.0,72,-0.0107
3910,6.083333333333333,19.0,90,-0.0841
3920,3.076923076923077,8.0,103,-0.0166
3930,5.607142857142857,13.0,112,-0.1219
3940,4.333333333333333,12.0,118,-0.0647
3950,4.0,8.0,123,-0.0614
3960,4.107142857142857,13.0,133,-0.0799
3970,0.0,0.0,18,-0.0
3980,0.0,0.0,36,-0.0
3990,0.0,0.0,54,-0.0
4000,1.8333333333333333,4.0,72,-0.0027
4010,3.0833333333333335,7.0,90,-0.0165
4020,3.736842105263158,15.0,103,-0.0482
4030,6.133333333333334,25.0,111,-0.1328
4040,8.956521739130435,35.0,121,-0.3704
4050,4.413793103448276,14.0,125,-0.087
4060,0.0,0.0,8,-0.0
4070,0.0,0.0,27,-0.0
4080,0.0,0.0,45,-0.0
4090,1.0,1.0,63,-0.0004
4100,2.7142857142857144,6.0,80,-0.0069
4110,3.0,8.0,99,-0.0088
4120,4.2,8.0,114,-0.0353
4130,9.473684210526315,18.0,119,-0.238
4140,3.8260869565217392,16.0,122,-0.0606
4150,5.257142857142857,14.0,128,-0.1504
4160,0.0,0.0,8,-0.0
4170,0.0,0.0,26,-0.0
4180,0.0,0.0,45,-0.0
4190,2.0,2.0,62,-0.0012
4200,1.8571428571428572,4.0,80,-0.0031
4210,3.5714285714285716,6.0,99,-0.0119
4220,6.176470588235294,16.0,112,-0.1163
4230,3.85,13.0,119,-0.0491
4240,4.2,11.0,125,-0.064
4250,3.4545454545454546,10.0,129,-0.0376
4260,0.0,0.0,9,-0.0
4270,0.0,0.0,26,-0.0
4280,0.0,0.0,44,-0.0
4290,2.5,3.0,62,-0.0028
4300,4.909090909090909,11.0,80,-0.0372
4310,2.0,5.0,99,-0.005
4320,3.6666666666666665,13.0,109,-0.0343
4330,4.8125,23.0,120,-0.0921
4340,6.064516129032258,12.0,125,-0.1514
4350,5.885714285714286,16.0,132,-0.2012
4360,0.0,0.0,9,-0.0
4370,0.0,0.0,27,-0.0
4380,0.0,0.0,45,-0.0
4390,4.0,4.0,62,-0.0032
4400,5.545454545454546,14.0,80,-0.0513
4410,2.375,5.0,99,-0.0061
4420,4.916666666666667,9.0,109,-0.0377
4430,4.565217391304348,14.0,115,-0.0837
4440,9.176470588235293,24.0,126,-0.4236
4450,11.592592592592593,34.0,130,-0.6799
4460,0.0,0.0,9,-0.0
4470,0.0,0.0,27,-0.0
4480,0.0,0.0,45,-0.0
4490,3.0,5.0,63,-0.0078
4500,3.3333333333333335,7.0,81,-0.0086
4510,3.4285714285714284,7.0,99,-0.022
4520,2.6,5.0,106,-0.0043
4530,5.285714285714286,10.0,115,-0.0488
4540,4.636363636363637,13.0,122,-0.0722
4550,7.242424242424242,23.0,123,-0.2621
4560,0.0,0.0,16,-0.0
4570,0.0,0.0,34,-0.0
4580,0.0,0.0,53,-0.0
4590,3.0,6.0,71,-0.0041
4600,4.357142857142857,11.0,89,-0.0375
4610,4.470588235294118,16.0,107,-0.0614
4620,6.28,26.0,116,-0.2051
4630,6.586206896551724,36.0,126,-0.3767
4640,8.352941176470589,46.0,134,-0.7202
4650,9.21951219512195,56.0,142,-1.164
4660,0.0,0.0,17,-0.0
4670,0.0,0.0,36,-0.0
4680,0.0,0.0,54,-0.0
4690,4.0,7.0,72,-0.0062
4700,2.3333333333333335,3.0,90,-0.0017
4710,2.625,5.0,106,-0.0067
4720,3.8666666666666667,10.0,113,-0.0352
4730,2.4,9.0,120,-0.015
4740,4.894736842105263,12.0,122,-0.0667
4750,3.0,6.0,127,-0.0265
4760,0.0,0.0,18,-0.0
4770,0.0,0.0,35,-0.0
4780,0.0,0.0,54,-0.0
4790,5.0,8.0,72,-0.0089
4800,5.25,8.0,89,-0.0145
4810,4.25,10.0,104,-0.0349
4820,4.25,17.0,110,-0.0833
4830,3.130434782608696,8.0,118,-0.0304
4840,5.96,16.0,124,-0.1535
4850,7.5,23.0,136,-0.3489
4860,0.0,0.0,18,-0.0
4870,0.0,0.0,36,-0.0
4880,0.0,0.0,54,-0.0
4890,2.5,5.0,72,-0.0053
4900,3.4285714285714284,9.0,90,-0.0134
4910,4.928571428571429,13.0,106,-0.0505
4920,4.3076923076923075,14.0,115,-0.0462
4930,5.578947368421052,11.0,119,-0.0772
4940,6.111111111111111,16.0,125,-0.103
4950,5.333333333333333,26.0,131,-0.223
4960,0.0,0.0,18,-0.0
4970,0.0,0.0,36,-0.0
4980,0.0,0.0,54,-0.0
4990,0.0,0.0,72,-0.0
5000,3.0,7.0,90,-0.0102
5010,4.470588235294118,13.0,103,-0.0502
5020,7.16,18.0,112,-0.1777
5030,7.96875,22.0,118,-0.3215
5040,8.0,28.0,127,-0.5362
5050,0.0,0.0,9,-0.0
5060,0.0,0.0,26,-0.0
5070,0.0,0.0,44,-0.0
5080,1.0,1.0,61,-0.0003
5090,4.0,11.0,80,-0.0222
5100,6.7,16.0,99,-0.0705
5110,5.9411764705882355,26.0,112,-0.1503
5120,8.047619047619047,36.0,120,-0.3495
5130,8.75,46.0,129,-0.6389
5140,3.3703703703703702,10.0,134,-0.0483
5150,0.0,0.0,9,-0.0
5160,0.0,0.0,26,-0.0
5170,0.0,0.0,45,-0.0
5180,2.0,2.0,62,-0.0008
5190,2.25,3.0,80,-0.0021
5200,3.3333333333333335,6.0,99,-0.012
5210,4.8,14.0,109,-0.057
5220,6.333333333333333,22.0,114,-0.1221
5230,3.739130434782609,10.0,121,-0.0498
5240,5.3076923076923075,15.0,128,-0.1232
5250,0.0,0.0,9,-0.0
5260,0.0,0.0,27,-0.0
5270,0.0,0.0,45,-0.0
5280,3.0,3.0,62,-0.0018
5290,7.5,13.0,81,-0.0284
5300,5.833333333333333,13.0,99,-0.0293
5310,5.538461538461538,18.0,108,-0.0638
5320,4.076923076923077,10.0,116,-0.0319
5330,4.368421052631579,13.0,122,-0.0607
5340,3.5238095238095237,9.0,128,-0.0343
5350,0.0,0.0,9,-0.0
5360,0.0,0.0,27,-0.0
5370,0.0,0.0,45,-0.0
5380,4.0,4.0,63,-0.0048
5390,3.5,5.0,80,-0.0029
5400,3.125,7.0,99,-0.0113
5410,5.0,14.0,109,-0.0339
5420,5.3,16.0,113,-0.0493
5430,3.9130434782608696,12.0,116,-0.0602
5440,5.15,14.0,119,-0.0933
5450,0.0,0.0,9,-0.0
5460,0.0,0.0,27,-0.0
5470,0.0,0.0,45,-0.0
5480,2.25,5.0,63,-0.0031
5490,2.0,4.0,81,-0.0054
5500,3.3333333333333335,7.0,99,-0.0134
5510,7.2,15.0,107,-0.079
5520,6.277777777777778,24.0,114,-0.1617
5530,8.48,34.0,116,-0.3958
5540,6.137931034482759,21.0,124,-0.2368
5550,0.0,0.0,18,-0.0
5560,0.0,0.0,36,-0.0
5570,0.0,0.0,54,-0.0
5580,1.0,1.0,72,-0.0001
5590,2.0,3.0,90,-0.001
5600,4.4375,7.0,107,-0.0391
5610,6.533333333333333,17.0,114,-0.1156
5620,9.80952380952381,27.0,122,-0.3586
5630,5.228571428571429,13.0,128,-0.1191
5640,7.757575757575758,17.0,134,-0.2888
5650,0.0,0.0,18,-0.0
5660,0.0,0.0,35,-0.0
5670,0.0,0.0,53,-0.0
5680,2.6,7.0,71,-0.0061
5690,1.8,4.0,90,-0.0023
5700,3.6153846153846154,12.0,106,-0.0293
5710,5.0,22.0,110,-0.0957
5720,7.730769230769231,32.0,117,-0.3151
5730,7.15625,38.0,127,-0.4091
5740,5.413793103448276,14.0,133,-0.1383
5750,0.0,0.0,18,-0.0
5760,0.0,0.0,36,-0.0
5770,0.0,0.0,53,-0.0
5780,2.2857142857142856,3.0,71,-0.004
5790,3.25,5.0,90,-0.0098
5800,5.090909090909091,13.0,104,-0.0496
5810,4.882352941176471,13.0,115,-0.0547
5820,5.555555555555555,23.0,119,-0.1558
5830,4.5,12.0,126,-0.0737
5840,4.344827586206897,12.0,136,-0.0804
5850,0.0,0.0,18,-0.0
5860,0.0,0.0,36,-0.0
5870,0.0,0.0,54,-0.0
5880,3.0,4.0,72,-0.0047
5890,4.5,12.0,89,-0.0296
5900,2.8,8.0,104,-0.0128
5910,3.8,10.0,110,-0.0242
5920,3.8,9.0,116,-0.0432
5930,3.8095238095238093,13.0,120,-0.0524
5940,4.193548387096774,9.0,127,-0.0694
5950,0.0,0.0,18,-0.0
5960,0.0,0.0,36,-0.0
5970,0.0,0.0,54,-0.0
5980,3.0,5.0,72,-0.0052
5990,4.785714285714286,15.0,90,-0.0531
6000,4.764705882352941,10.0,105,-0.0545
6010,4.64,20.0,112,-0.0996
6020,4.44,30.0,118,-0.1407
6030,6.785714285714286,40.0,125,-0.4053
6040,0.0,0.0,8,-0.0
6050,0.0,0.0,26,-0.0
6060,0.0,0.0,44,-0.0
6070,1.0,1.0,63,-0.0002
6080,2.3333333333333335,4.0,80,-0.0057
6090,1.8571428571428572,6.0,99,-0.0045
6100,3.357142857142857,8.0,112,-0.0247
6110,4.631578947368421,17.0,118,-0.0776
6120,5.086956521739131,16.0,130,-0.1121
6130,5.5476190476190474,13.0,135,-0.1759
6140,0.0,0.0,8,-0.0
6150,0.0,0.0,26,-0.0
6160,0.0,0.0,44,-0.0
6170,1.0,1.0,62,-0.0003
6180,2.2222222222222223,5.0,81,-0.0056
6190,7.352941176470588,13.0,99,-0.1105
6200,3.95,14.0,110,-0.0549
6210,5.903225806451613,11.0,121,-0.136
6220,5.684210526315789,18.0,128,-0.218
6230,5.0256410256410255,13.0,136,-0.147
6240,0.0,0.0,9,-0.0
6250,0.0,0.0,27,-0.0
6260,0.0,0.0,45,-0.0
6270,2.0,3.0,62,-0.001
6280,5.571428571428571,13.0,80,-0.0319
6290,3.0,8.0,98,-0.0119
6300,5.176470588235294,9.0,106,-0.059
6310,2.823529411764706,6.0,114,-0.0184
6320,3.65,10.0,121,-0.0379
6330,6.0606060606060606,17.0,130,-0.195
6340,0.0,0.0,9,-0.0
6350,0.0,0.0,27,-0.0
6360,0.0,0.0,45,-0.0
6370,4.0,4.0,62,-0.0016
6380,3.2857142857142856,7.0,81,-0.0105
6390,2.3333333333333335,4.0,99,-0.0065
6400,2.85,6.0,107,-0.0213
6410,8.11111111111111,16.0,113,-0.16
6420,7.391304347826087,23.0,122,-0.2514
6430,4.708333333333333,16.0,128,-0.0887
6440,0.0,0.0,9,-0.0
6450,0.0,0.0,27,-0.0
6460,0.0,0.0,45,-0.0
6470,3.4,5.0,63,-0.0077
6480,2.8333333333333335,6.0,80,-0.0079
6490,2.588235294117647,10.0,99,-0.021
6500,4.470588235294118,10.0,109,-0.0468
6510,4.166666666666667,10.0,115,-0.0596
6520,6.378378378378378,20.0,124,-0.2452
6530,4.8125,12.0,130,-0.1108
6540,0.0,0.0,18,-0.0
6550,0.0,0.0,35,-0.0
6560,0.0,0.0,54,-0.0
6570,1.0,1.0,72,-0.0001
6580,3.4166666666666665,7.0,90,-0.0171
6590,4.571428571428571,10.0,108,-0.02
6600,3.9411764705882355,10.0,115,-0.0407
6610,4.9375,20.0,123,-0.0783
6620,2.8333333333333335,6.0,128,-0.0264
6630,6.5,16.0,132,-0.1809
6640,0.0,0.0,18,-0.0
6650,0.0,0.0,36,-0.0
6660,0.0,0.0,54,-0.0
6670,2.3333333333333335,3.0,72,-0.0017
6680,1.6,2.0,89,-0.0014
6690,2.6363636363636362,4.0,107,-0.0089
6700,6.153846153846154,14.0,115,-0.0766
6710,8.782608695652174,24.0,118,-0.293
6720,3.1904761904761907,9.0,123,-0.0319
6730,4.882352941176471,17.0,128,-0.1274
6740,0.0,0.0,18,-0.0
6750,0.0,0.0,36,-0.0
6760,0.0,0.0,53,-0.0
6770,2.0,3.0,72,-0.002
6780,5.25,13.0,90,-0.039
6790,6.5,23.0,105,-0.0887
6800,4.555555555555555,20.0,114,-0.0734
6810,8.148148148148149,18.0,120,-0.2548
6820,7.321428571428571,19.0,125,-0.2247
6830,7.142857142857143,17.0,132,-0.2518
6840,0.0,0.0,18,-0.0
6850,0.0,0.0,35,-0.0
6860,0.0,0.0,54,-0.0
6870,3.2,5.0,72,-0.006
6880,4.416666666666667,13.0,90,-0.0389
6890,6.818181818181818,15.0,104,-0.143
6900,5.363636363636363,14.0,112,-0.1483
6910,5.681818181818182,15.0,120,-0.1113
6920,3.9655172413793105,14.0,128,-0.0709
6930,4.483870967741935,14.0,134,-0.1015
6940,0.0,0.0,18,-0.0
6950,0.0,0.0,36,-0.0
