timesteps,avg_waiting_time,max_waiting_time,throughput,reward
10,0.0,0.0,18,-0.0
20,0.0,0.0,36,-0.0
30,0.0,0.0,54,-0.0
40,4.75,10.0,72,-0.0141
50,5.111111111111111,12.0,90,-0.035
60,5.642857142857143,16.0,105,-0.0827
70,5.631578947368421,25.0,109,-0.1233
80,7.846153846153846,15.0,115,-0.2062
90,4.838709677419355,15.0,123,-0.1158
100,0.0,0.0,9,-0.0
110,0.0,0.0,26,-0.0
120,0.0,0.0,44,-0.0
130,1.0,1.0,63,-0.0003
140,5.333333333333333,11.0,81,-0.0238
150,7.909090909090909,21.0,99,-0.1159
160,9.5,31.0,111,-0.2952
170,12.0,41.0,115,-0.6448
180,13.095238095238095,43.0,124,-0.7171
190,6.181818181818182,27.0,129,-0.199
200,0.0,0.0,9,-0.0
210,0.0,0.0,27,-0.0
220,0.0,0.0,45,-0.0
230,2.0,2.0,63,-0.0008
240,2.857142857142857,6.0,81,-0.0072
250,2.625,5.0,99,-0.0073
260,3.6363636363636362,8.0,111,-0.0208
270,6.52,18.0,118,-0.1749
280,9.89655172413793,28.0,125,-0.5267
290,12.461538461538462,38.0,125,-0.9072
300,0.0,0.0,9,-0.0
310,0.0,0.0,27,-0.0
320,0.0,0.0,45,-0.0
330,2.5,3.0,63,-0.0013
340,3.857142857142857,8.0,80,-0.0127
350,3.9166666666666665,7.0,98,-0.0225
360,4.235294117647059,10.0,108,-0.04
370,6.7368421052631575,17.0,115,-0.145
380,7.571428571428571,25.0,126,-0.2193
390,5.862068965517241,16.0,128,-0.1564
400,0.0,0.0,9,-0.0
410,0.0,0.0,27,-0.0
420,0.0,0.0,45,-0.0
430,2.5,4.0,63,-0.0017
440,4.230769230769231,8.0,81,-0.0315
450,3.4,7.0,99,-0.0156
460,6.130434782608695,12.0,108,-0.1105
470,5.76,19.0,118,-0.1232
480,5.891891891891892,15.0,125,-0.2032
490,7.529411764705882,18.0,136,-0.2784
500,0.0,0.0,9,-0.0
510,0.0,0.0,27,-0.0
520,0.0,0.0,45,-0.0
530,2.5,4.0,62,-0.0051
540,2.0,5.0,81,-0.0028
550,5.0,10.0,99,-0.037
560,4.333333333333333,10.0,109,-0.0474
570,6.241379310344827,16.0,116,-0.1779
580,7.285714285714286,25.0,124,-0.3231
590,4.2,14.0,130,-0.0926
600,0.0,0.0,17,-0.0
610,0.0,0.0,36,-0.0
620,0.0,0.0,53,-0.0
630,2.5,6.0,71,-0.0042
640,4.6,8.0,90,-0.0135
650,3.8823529411764706,8.0,107,-0.0356
660,7.125,18.0,112,-0.1584
670,9.366666666666667,28.0,122,-0.4597
